tweet_id,timestamp,text,rating_numerator,name,dog_stage,retweet_count,favorite_count,image_predict_url,polarity,subjectivity
892420643555336193,2017-08-01 16:23:56+00:00,phineas hes mystical boy ever appears hole donut,13,Phineas,,8853,39467,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg	1	Welsh_springer_spaniel	0.465074	True	collie	0.156665	True	Shetland_sheepdog	0.0614285	True,0.0,0.0
892177421306343426,2017-08-01 00:17:27+00:00,tilly shes checking pup hopes youre ok shes available pats snugs boops whole bit,13,Tilly,,6514,33819,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg	1	redbone	0.506826	True	miniature_pinscher	0.07419169999999999	True	Rhodesian_ridgeback	0.07201	True,0.3666666666666667,0.43333333333333335
891815181378084864,2017-07-31 00:18:03+00:00,archie rare norwegian pouncing corgo lives tall grass never know one may strike,12,Archie,,4328,25461,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg	1	German_shepherd	0.596461	True	malinois	0.13858399999999998	True	bloodhound	0.11619700000000001	True,0.15,0.45
891689557279858688,2017-07-30 15:58:51+00:00,darla commenced snooze mid meal happens best us,13,Darla,,8964,42908,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg	1	Rhodesian_ridgeback	0.408143	True	redbone	0.360687	True	miniature_pinscher	0.222752	True,0.5,0.15
891327558926688256,2017-07-29 16:00:24+00:00,franklin would like stop calling cute fierce shark respected barkweek,12,Franklin,,9774,41048,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg	1	miniature_pinscher	0.560311	True	Rottweiler	0.243682	True	Doberman	0.154629	True,0.5,1.0
891087950875897856,2017-07-29 00:08:17+00:00,majestic great white breaching south africas coast absolutely hckin breathtaking ig tucker_marlo barkweek,13,None,,3261,20562,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg	1	Bernese_mountain_dog	0.651137	True	English_springer	0.263788	True	Greater_Swiss_Mountain_dog	0.0161992	True,0.5,0.6625
890971913173991426,2017-07-28 16:27:12+00:00,meet jax enjoys ice cream much gets nervous around help jax enjoy things clicking,13,Jax,,2158,12041,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg	1	box_turtle	0.9330120000000001	False	mud_turtle	0.04588540000000001	False	terrapin	0.017885299999999996	False,0.30000000000000004,0.35
890729181411237888,2017-07-28 00:22:40+00:00,watch owner call another dog good boy turn back say youre great boy,13,None,,16716,56848,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg	1	chow	0.692517	True	Tibetan_mastiff	0.058279399999999995	True	fur_coat	0.0544486	False,0.5,0.45
890609185150312448,2017-07-27 16:25:51+00:00,zoey doesnt want one scary sharks wants snuggly pettable boatpet barkweek,13,Zoey,,4429,28226,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg	1	shopping_cart	0.962465	False	shopping_basket	0.014593799999999999	False	golden_retriever	0.00795896	True,-0.15,0.55
890240255349198849,2017-07-26 15:59:51+00:00,cassie college pup studying international doggo communication stick theory elegant much sophisticate,14,Cassie,doggo,7711,32467,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg	1	miniature_poodle	0.201493	True	komondor	0.192305	True	soft-coated_wheaten_terrier	0.08208610000000001	True,0.2333333333333333,0.39999999999999997
